session_id,time_to_cart,hour_of_cart,day_of_week,views_before_cart,total_events_before_cart,browse_intensity_pre_cart,unique_products_viewed,unique_categories_viewed,unique_brands_viewed,avg_viewed_price,max_viewed_price,min_viewed_price,price_variance_viewed,initial_cart_value,initial_cart_items,avg_cart_item_price,avg_time_between_events,event_acceleration,category_focus_ratio,main_category,target_purchase
ecc157a5-2736-4f32-9bbb-bccc08eb91e8,232.0,17,2,3,3,0.7758620689655172,2,1,1,870.1466666666666,939.54,731.36,14446.304133333328,939.54,1,939.54,94.5,-7.0,1.0,electronics,0
ecc1af1e-f63f-49fd-b859-39cd9836847c,88.0,4,6,2,2,1.3636363636363638,2,1,2,586.665,975.56,197.77,302478.64204999997,197.77,1,197.77,72.0,0.0,1.0,electronics,1
ecc235a7-9112-40d3-bc84-92770cbe8ed2,301.0,17,2,4,4,0.7973421926910299,2,1,1,1236.205,1413.16,1059.25,41750.76270000002,1413.16,1,1413.16,93.66666666666667,74.0,1.0,electronics,0
ecc2981a-a59c-434c-9823-35c2c3f6cee7,111.0,9,6,3,3,1.6216216216216215,2,1,1,1435.7699999999998,1450.69,1428.31,166.95480000000163,1450.69,1,1450.69,44.0,38.0,1.0,electronics,0
ecc2f5d5-ca53-4ae7-87cd-360dbeb3dad9,319.0,9,0,3,3,0.5642633228840126,3,0,3,26.666666666666668,45.69,13.87,282.2066333333333,45.69,1,45.69,147.0,222.0,0.0,unknown,0
ecc31014-a791-444f-ba2f-ea9ac4dd1882,60.0,9,0,2,2,2.0,1,1,1,442.66,442.66,442.66,0.0,442.66,1,442.66,44.0,0.0,1.0,appliances,0
ecc335df-5f84-40cb-badc-869a8a2aaede,43.0,10,2,1,1,1.3953488372093024,1,1,1,130.25,130.25,130.25,0.0,130.25,1,130.25,0.0,0.0,1.0,electronics,0
ecc338a8-78f1-4a53-b41e-314fddadd114,37.0,13,1,1,1,1.6216216216216215,1,1,1,170.92,170.92,170.92,0.0,170.92,1,170.92,0.0,0.0,1.0,electronics,0
ecc345c4-4a24-4dfc-9dd7-846abcce9a02,68.0,16,1,2,2,1.7647058823529411,1,1,1,380.19,380.19,380.19,0.0,380.19,1,380.19,21.0,0.0,1.0,electronics,0
ecc3f910-bd37-4f34-a85f-8581572bcca9,49.0,1,0,1,1,1.2244897959183674,1,1,1,131.64,131.64,131.64,0.0,131.64,1,131.64,0.0,0.0,1.0,electronics,0
ecc48a69-21d8-e5c4-37f2-d1b2ff59ee42,614.0,5,5,5,5,0.488599348534202,2,1,1,430.332,486.5,205.66,15774.22112,486.5,1,486.5,144.0,554.0,1.0,appliances,0
ecc4e4cd-650c-43ad-9ef4-05335094f6c0,121.0,12,6,4,4,1.9834710743801653,2,1,1,176.8025,192.53,171.56,109.93522499999999,192.53,1,192.53,37.333333333333336,-15.0,1.0,electronics,0
ecc4edb5-fca6-4129-8b53-cee4cd8ded15,74.0,8,6,2,2,1.6216216216216215,1,0,1,78.51,78.51,78.51,0.0,78.51,1,78.51,23.0,0.0,0.0,unknown,1
ecc59cd6-cb65-4041-9de0-821994d83e03,45.0,12,0,1,1,1.3333333333333333,1,1,1,135.65,135.65,135.65,0.0,135.65,1,135.65,0.0,0.0,1.0,electronics,0
ecc5efe1-97f9-423b-bdde-449bff683b2d,150.0,4,6,6,6,2.4,3,1,1,312.40333333333336,372.47,282.37,2164.8026666666674,282.37,1,282.37,26.8,3.0,1.0,electronics,0
ecc68a1e-91b3-4127-ae3d-f29bf3426240,64.0,5,1,1,1,0.9375,1,1,1,190.56,190.56,190.56,0.0,190.56,1,190.56,0.0,0.0,1.0,electronics,0
ecc6dbfa-6f72-483f-9403-c8626fd5a0ef,75.0,0,2,2,2,1.6,2,1,2,242.07,286.84,197.3,4008.7057999999965,197.3,1,197.3,36.0,0.0,1.0,electronics,1
ecc8cef1-732c-411c-a4bd-233f729bc803,13.0,9,1,1,1,4.615384615384615,1,1,1,250.96,250.96,250.96,0.0,250.96,1,250.96,0.0,0.0,1.0,electronics,1
ecc97e7e-1abd-4e0c-9782-239a53c317ee,328.0,14,3,6,6,1.0975609756097562,6,0,2,434.64166666666665,669.23,360.34,13482.40749666667,390.89,1,390.89,64.0,-40.0,0.0,unknown,1
ecc9e82c-90f4-43d1-adb1-9d8f09d2541e,539.0,5,5,7,7,0.7792207792207793,5,1,2,128.60428571428574,152.09,94.72,433.78602857142863,110.12,1,110.12,75.5,-147.0,1.0,electronics,0
eccaa482-2e25-4ebd-b910-2f937c2008f4,115.0,18,3,2,2,1.0434782608695652,1,0,1,28.58,28.58,28.58,0.0,28.58,1,28.58,62.0,0.0,0.0,unknown,1
eccb5891-e820-402b-aa0c-23c40b33d028,32.0,12,5,1,1,1.875,1,1,1,285.41,285.41,285.41,0.0,285.41,1,285.41,0.0,0.0,1.0,electronics,0
eccb779b-fb50-4fcd-b8e6-fe17719ac28e,431.0,13,0,5,5,0.6960556844547564,4,1,1,1017.3460000000001,1122.55,952.15,3962.996279999998,1004.09,1,1004.09,106.25,-26.0,1.0,electronics,0
eccbf127-9206-43ce-ab79-216985f8bbf2,150.0,19,6,4,4,1.6,4,0,3,95.22,216.22,25.71,7003.408066666666,59.18,1,59.18,48.666666666666664,2.0,0.0,unknown,0
eccc2abc-eb9f-4142-b6d9-d9f031a87fdc,22.0,9,2,1,1,2.7272727272727275,1,1,1,192.23,192.23,192.23,0.0,192.23,1,192.23,0.0,0.0,1.0,electronics,0
eccc2d4d-a294-406e-b00a-9a2f0489c568,17.0,12,4,1,1,3.5294117647058822,1,1,1,72.05,72.05,72.05,0.0,72.05,1,72.05,0.0,0.0,1.0,appliances,0
eccc8a44-162b-4522-9804-140d90aab4fd,227.0,21,6,9,9,2.378854625550661,6,1,1,140.37777777777777,145.42,137.71,6.515919444444403,142.26,1,142.26,27.75,-4.0,1.0,electronics,1
eccd7010-342a-4d98-b459-070414d56d43,6.0,7,2,1,1,10.0,1,1,1,975.56,975.56,975.56,0.0,975.56,1,975.56,0.0,0.0,1.0,electronics,0
eccd70fc-71fd-490b-9411-4ebb4505aadc,153.0,6,4,4,4,1.5686274509803924,2,1,1,644.36,703.85,584.87,4718.746800000002,703.85,1,703.85,44.0,-17.0,1.0,electronics,0
eccd8168-e1c7-43c9-af49-69c301132a93,22.0,14,5,1,1,2.7272727272727275,1,1,1,250.84,250.84,250.84,0.0,250.84,1,250.84,0.0,0.0,1.0,electronics,0
ecce94a5-390b-4d1e-974c-df406ab332ed,109.0,20,6,1,1,0.5504587155963303,1,1,1,250.82,250.82,250.82,0.0,250.82,1,250.82,0.0,0.0,1.0,electronics,0
eccf06eb-31c6-4ee6-8f3d-84d1019c32d0,24.0,13,4,1,1,2.5,1,1,1,61.88,61.88,61.88,0.0,61.88,1,61.88,0.0,0.0,1.0,appliances,0
eccf191a-6dbf-4da4-b654-fc6491a9d15e,15.0,2,5,1,1,4.0,1,1,1,720.48,720.48,720.48,0.0,720.48,1,720.48,0.0,0.0,1.0,computers,0
eccf4a3f-b7fd-4c4b-a1cb-517c38f4609b,2.0,6,0,1,1,30.0,1,1,1,179.9,179.9,179.9,0.0,179.9,1,179.9,0.0,0.0,1.0,electronics,0
eccfa8d6-2464-4065-9c68-edd6765e24e3,334.0,12,3,3,3,0.5389221556886228,2,1,1,320.5566666666667,388.13,286.77,3424.6165333333342,388.13,1,388.13,115.5,-101.0,1.0,electronics,0
ecd01b7c-9e2b-420a-969c-afbac8f9e5e8,99.0,17,5,1,1,0.6060606060606061,1,1,1,173.93,173.93,173.93,0.0,173.93,1,173.93,0.0,0.0,1.0,electronics,1
ecd04692-46a6-484f-bca1-535b6f40e1c8,2593.0,12,3,5,5,0.11569610489780177,2,1,1,304.074,380.82,252.91,4908.29043,252.91,1,252.91,607.0,2275.0,1.0,electronics,0
ecd0991b-6a08-4f68-8525-eee2fbb3974c,100.0,14,5,2,2,1.2,1,1,1,130.48,130.48,130.48,0.0,130.48,1,130.48,59.0,0.0,1.0,electronics,1
ecd207fb-a89d-4d81-ba9b-2dd3fb89c750,103.0,3,2,2,2,1.1650485436893205,2,1,2,193.54,288.03,99.05,17856.720199999996,99.05,1,99.05,42.0,0.0,1.0,electronics,0
ecd33728-f93d-4565-8347-35babd050bd9,15.0,6,2,1,1,4.0,1,1,1,858.83,858.83,858.83,0.0,858.83,1,858.83,0.0,0.0,1.0,electronics,1
ecd3e17e-4ea8-4f02-adda-06a8a9ce5c25,8.0,10,1,1,1,7.5,1,1,1,1747.79,1747.79,1747.79,0.0,1747.79,1,1747.79,0.0,0.0,1.0,electronics,1
ecd41976-be0c-4e89-bd12-302fc56f1761,105.0,9,1,2,2,1.1428571428571428,1,1,1,185.7,185.7,185.7,0.0,185.7,1,185.7,13.0,0.0,1.0,electronics,0
ecd41d04-57d6-4acd-b877-5ced6628db8d,21.0,6,0,1,1,2.857142857142857,1,0,1,218.35,218.35,218.35,0.0,218.35,1,218.35,0.0,0.0,0.0,unknown,1
ecd4972c-cbab-4c87-a71b-51b8e11cf8e9,11.0,8,0,1,1,5.454545454545455,1,1,1,810.57,810.57,810.57,0.0,810.57,1,810.57,0.0,0.0,1.0,electronics,1
ecd51bd4-c879-4804-890d-e44878d2235a,112.0,8,6,1,1,0.5357142857142857,1,1,1,501.89,501.89,501.89,0.0,1003.78,2,501.89,0.0,0.0,1.0,electronics,0
ecd52b9d-5d9f-4356-9580-3068e9d75d42,86.0,13,6,1,1,0.6976744186046512,1,1,1,370.53,370.53,370.53,0.0,370.53,1,370.53,0.0,0.0,1.0,electronics,0
ecd5dae4-1638-4873-9d69-918c8db73725,43.0,9,5,1,1,1.3953488372093024,1,1,1,174.05,174.05,174.05,0.0,522.1500000000001,3,174.05000000000004,0.0,0.0,1.0,electronics,0
ecd64cd7-92c4-42af-9477-c88608eca5b2,548.0,16,2,11,11,1.2043795620437956,1,0,1,42.99,42.99,42.99,0.0,42.99,1,42.99,48.2,-98.0,0.0,unknown,1
ecd65cf1-eb8a-47ab-aba6-56e9d0ac036d,27.0,11,4,2,2,4.444444444444445,2,1,1,614.12,1174.7,53.54,628499.8728000001,53.54,1,53.54,11.0,0.0,0.5,electronics,0
ecd6a1e3-07ba-4817-8238-f39e4e3a2a5b,597.0,9,2,11,11,1.105527638190955,4,2,2,568.4090909090909,1164.77,179.9,225210.46134909085,1164.77,1,1164.77,51.1,-9.0,0.6363636363636364,electronics,0
ecd74b66-062c-4fa0-9665-2c2c9f289d7e,9.0,19,2,1,1,6.666666666666667,1,1,1,1090.12,1090.12,1090.12,0.0,1090.12,1,1090.12,0.0,0.0,1.0,electronics,0
ecd7ddbf-b2f6-4c48-b3f3-0dededd0bcea,1081.0,5,3,4,4,0.22201665124884368,3,1,2,197.8875,358.57,131.72,11554.515491666665,150.65,1,150.65,79.33333333333333,-2.0,1.0,electronics,0
ecd8dfba-1098-4d45-9810-4e4f5005fcf9,32.0,14,6,1,1,1.875,1,1,1,138.74,138.74,138.74,0.0,138.74,1,138.74,0.0,0.0,1.0,electronics,0
ecd8f847-1a6a-410f-a5f4-c5f466cb10b6,19.0,5,4,1,1,3.1578947368421053,1,0,1,390.96,390.96,390.96,0.0,390.96,1,390.96,0.0,0.0,0.0,unknown,0
ecda9ed0-dcf7-4902-b235-2b19777847a3,32.0,5,2,1,1,1.875,1,1,1,170.92,170.92,170.92,0.0,170.92,1,170.92,0.0,0.0,1.0,electronics,0
ecdad238-8be1-4732-b02c-5c63f59fa30a,1105.0,4,5,26,26,1.4117647058823528,14,1,4,256.4719230769231,1415.48,64.33,134743.12858415383,97.79,1,97.79,44.0,-114.0,0.9615384615384616,electronics,0
